# generated by tools/ida/dump_send_ids.py
# 8401 functions decompiled, 1 failed, 575 assignments found
struct	field	value	function	count
STONG_UNION_ADD_MEMBER_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong13ReplyAddUnionEPK31tagTONG_REPLY_ADD_UNION_COMMAND	1
STONG_UNION_ADD_MEMBER_COMMAND	ProtocolID	17	_ZN11KPlayerTong13ReplyAddUnionEPK31tagTONG_REPLY_ADD_UNION_COMMAND	1
SYNC_WEATHER	cProtocol	-113	_ZN9KSubWorld8ActivateEv	1
TDbDataBlock	cProtocol	-70	_ZN16KProtocolProcess13c2sSendDbDataEiPh	1
TGS2B_ReadyState	cProtocol	67	_ZN12KTongProcess22InitCoreAfterRelayDataEv	1
THostExchange	cProtocol	-104	_ZN12KHostProcess15ProcessTransferEPKvjP10KTRAN_UNIT	1
THostExchange	cProtocol	-104	_ZN12KHostProcess16ExchangingLogoutEPKcPK11KEXCHANGING	1
THostExchange	cProtocol	-104	_ZN12KHostProcess24TransferSmallPackProcessEPKvjP10KTRAN_UNIT	1
TLockAccount	cProtocol	-99	_ZN14KClientProcess14ProcessMessageEmPKvj	1
TLockAccount	cProtocol	-99	_ZN14KRoleRenameCmd7ExecuteEv	1
TMINIMAP_OBJ_SYNC	cProtocol	3764	_Z20LuaST_SyncMiniMapObjP9lua_State	1
TONGNAME_CHANGE	ProtocolFamily	0	_Z13LuaRenameTongP9lua_State	1
TONGNAME_CHANGE	ProtocolID	-94	_Z13LuaRenameTongP9lua_State	1
TONGNAME_QUERY	ProtocolFamily	0	_Z16LuaQueryTongNameP9lua_State	1
TONGNAME_QUERY	ProtocolID	-95	_Z16LuaQueryTongNameP9lua_State	1
TONG_APPLY_ADD_SYNC	cProtocol	-3	_ZN11KPlayerTong16TransferAddApplyEm	1
TONG_Add_SYNC	cProtocol	-3	_ZN11KPlayerTong7AddTongEimPKcS1_mS1_m	1
TONG_BILLBOARD_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_CHANGE_JOB_CALL_SYNC	cProtocol	-3	_ZN11KPlayerTong13ChangeJobCallEP36STONG_SERVER_TO_CORE_CHANGE_JOB_CALL	1
TONG_CHANGE_MASTER_FAIL_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_CHANGE_MONEY_RESULT_SYNC	cProtocol	-3	_ZN11KPlayerTong17ChangeMoneyResultEPK38STONG_SERVER_TO_CORE_TONG_CHANGE_MONEY	1
TONG_CLAIMWAR_SYNC	cProtocol	-3	_ZNK8KTongWar13SyncEnemyListEiimPKSt3setINS_8KTONGWARENS_12less_tongwarESaIS1_EE	1
TONG_CREATE_FAIL_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_CREATE_FAIL_SYNC	cProtocol	-3	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
TONG_CREATE_SYNC	cProtocol	-104	_ZN11KPlayerTong6CreateEimPKcmS1_m	1
TONG_DISPENSE_ERROR_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_INSTATE_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_KICK_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_LEVEL_BILLBOARD_SYNC	cProtocol	-3	_ZN12KTongProcess14ProcessMessageEPKvj	1
TONG_NPC_CALL_SYNC	cProtocol	-3	_ZN11KPlayerTong13BroadcastCallEv	1
TONG_REFUSE_ADD_UNION_SYNC	cProtocol	-3	_ZN25KTongLogic_GameSvr_Result17Union_Join_RefuseEmmmm	1
TONG_SELF_INFO_SYNC	cProtocol	-3	_ZN11KPlayerTong12SendSelfInfoEv	1
TONG_TRANSMIT_APPLY_ADD_UNION_SYNC	cProtocol	-3	_ZN25KTongLogic_GameSvr_Result16Union_Join_ApplyEmmm	1
TONG_UNION_INFO_SYNC	cProtocol	-3	_ZN11KPlayerTong12GetUnionInfoEPK36STONG_SERVER_TO_CORE_TONG_UNION_INFO	1
TRADE_APPLY_START_SYNC	cProtocol	-117	_ZN7KPlayer15TradeApplyStartEPh	1
TRADE_CHANGE_STATE_SYNC	cProtocol	117	_ZN16KPlayerMenuState8SetStateEiiPcim	3
TRADE_DECISION_SYNC	cProtocol	120	_ZN7KPlayer11CancelTradeEi	1
TRADE_DECISION_SYNC	cProtocol	120	_ZN7KPlayer13TradeDecisionEPh	1
TRADE_MONEY_SYNC	cProtocol	119	_ZN7KPlayer14SyncTradeStateEv	1
TRADE_STATE_SYNC	cProtocol	-127	_ZN7KPlayer14SyncTradeStateEv	1
TRYOUT_TIMEOUT_REQ	ProtocolType	42	_ZN7KPlayer18CheckTryoutTimeoutEv	1
TRoleNameChange	cProtocol	-97	_ZN14KRoleRenameCmd7ExecuteEv	1
TRoleNameChange	cProtocol	-96	_ZN22CRoleNameChangeHistory10SendFinishEPKcS1_S1_	1
TRoleNameQuery	cProtocol	-100	_Z16LuaQueryRoleNameP9lua_State	1
TSetHighLightPos	cProtocol	-76	_Z18LuaSetHighLightPosP9lua_State	1
TSyncFiles_ToClient_Header	cProtocol	-56	_ZN15KFileSyncToolGS17SyncFilesToClientEP7IServeri	1
TTellFlagPos	cProtocol	-76	_Z10LuaTellPosP9lua_State	1
TUnlockAccount	cProtocol	-98	_ZN15KGoddessProcess22OnChangeRoleNameResultEPvi	1
VIEW_EQUIP_SYNC	cProtocol	-107	_ZN7KPlayer17SendEquipItemInfoEi	1
WORLD_SYNC	cProtocol	73	_ZN9KSubWorld12SendSyncDataEii	1
stall_stalllevelnotallow	ProtocolType	-99	_ZN12KPlayerStall17c2sstallmarkpriceEPh	1
stallprotocol_header	ProtocolType	-99	_ZN12KPlayerStall12DealSellItemEiii	1
tagBotClientCheck	cProtocol	-81	_ZN19KAntiBotSignCodeMan20CheckClientValidCodeEP7KPlayer	1
tagDynamicUpdateMapID	cProtocol	64	_Z11Lua_LoadMapP9lua_State	1
tagDynamicUpdateMapID	cProtocol	64	_ZN12KHostProcess14ProcessMessageEPKvj	2
tagEnterGame	cProtocol	52	_ZN11KServerCore21NotifyBishopEnterGameEPKc	1
tagEnterGame	cProtocol	52	_ZN14KClientProcess14ProcessMessageEmPKvj	1
tagEnterGame2	ProtocolFamily	0	_ZN11KServerCore19NotifyHostEnterGameEPKcS1_immi	1
tagEnterGame2	ProtocolID	71	_ZN11KServerCore19NotifyHostEnterGameEPKcS1_immi	1
tagGameSvrInfo	cProtocol	51	_ZN14KBishopProcess23GatewaySmallPackProcessEPKvj	1
tagGateWayKickOut	cProtocol	41	_ZN14KBishopProcess23GatewayBoardCastProcessEPKcj	1
tagGuidableInfo	cProtocol	14	_ZN12KHostProcess24TransferSmallPackProcessEPKvjP10KTRAN_UNIT	1
tagKIB_BuyItemProtocol	cProtocol	65	_ZN16KSG_IBItemHelper8ApplyBuyEiP6KGoodsi	1
tagKIB_UseItemProtocol	cProtocol	66	_ZN16KSG_IBItemHelper13OnItemConsumeEiP5KItem	1
tagLeaveGame	cProtocol	53	_ZN11KServerCore21NotifyBishopLeaveGameEPKcii	1
tagLeaveGame	cProtocol	53	_ZN11KServerCore4ExitEv	1
tagLeaveGame2	ProtocolFamily	0	_ZN11KServerCore19NotifyHostLeaveGameEPKcS1_i	1
tagLeaveGame2	ProtocolFamily	0	_ZN11KServerCore4ExitEv	1
tagLeaveGame2	ProtocolID	72	_ZN11KServerCore19NotifyHostLeaveGameEPKcS1_i	1
tagLeaveGame2	ProtocolID	72	_ZN11KServerCore4ExitEv	1
tagNotifyPlayerExchange	cProtocol	53	_ZN12KHostProcess24TransferSmallPackProcessEPKvjP10KTRAN_UNIT	2
tagNotifyPlayerExchange	cProtocol	53	_ZN12KHostProcess29TransferLoseWayMessageProcessEPKcj	1
tagNotifyPlayerExchange	cProtocol	53	_ZN6trip_c12KTripManager12ProcessReplyEPKvj	1
tagOfflineKickoutRes	cProtocol	-114	_ZN14KBishopProcess14OfflineKickoutEPK20tagOfflineKickoutAsk	1
tagOfflineRequestAsk	cProtocol	-115	_ZN7KPlayer11OfflineLiveEv	1
tagOfflineRequestRes	cProtocol	-79	_ZN7KPlayer11OfflineLiveEv	1
tagOfflineTimeoutRes	cProtocol	-113	_ZN11KServerCore14OfflineTimeoutEi	1
tagPermitPlayerLogin	cProtocol	49	_ZN14KBishopProcess19ProcessSyncRoleDataEPKvj	1
tagRegisterAccount	cProtocol	54	_ZN12KHostProcess15ProcessTransferEPKvjP10KTRAN_UNIT	1
tagRelayStatAutoHangPlayer	ProtocolFamily	0	_Z23LuaTimerFuncForAutoHangP9lua_State	1
tagRelayStatAutoHangPlayer	ProtocolFamily	0	_Z26LuaCalcAutoHangPlayerCountP9lua_State	1
tagRelayStatAutoHangPlayer	ProtocolID	42	_Z23LuaTimerFuncForAutoHangP9lua_State	1
tagRelayStatAutoHangPlayer	ProtocolID	42	_Z26LuaCalcAutoHangPlayerCountP9lua_State	1
tagRoleEnterGame	cProtocol	61	_ZN12KHostProcess24TransferSmallPackProcessEPKvjP10KTRAN_UNIT	1
tagRoleEnterGame	cProtocol	61	_ZN12KHostProcess29TransferLoseWayMessageProcessEPKcj	1
tagRoleEnterGame	cProtocol	61	_ZN14KClientProcess14ProcessMessageEmPKvj	1
tagSyncBotSignCode	cProtocol	-82	_ZN19KAntiBotSignCodeMan16ClearBotSignCodeEv	1
tagUseSpreaderCDKey	cProtocol	63	_Z20LuaSendSpreaderCDKeyP9lua_State	1
